[
 Avião: AVIAOTESTE PISTÃO GASOLINA GRANDE COMERCIAL  biplano   trimotor  FIXA CAIXAPRETA TRIPULACAOPOLI MOTORJATOPISTAO , 
 Balão: BALAOTESTE DILATAÇÃO HELIO balão a gas  MEDIO LAZER TRIPULACAOUNICA CESTO , 
 Dirigivel: DIRIGIVELTESTE DILATAÇÃO HELIO Dirigivel semi Rigido  MEDIO COMERCIAL SEMIRIGIDO LEME GONDOLA TRIPULACAODUPLA , 
 Helicoptero: HELICOPTEROTESTE HELICE ETANOL GRANDE SERVIÇO rotor convencional  ROTATIVA MANCHE TRIPULACAODUPLA MOTORROTATORIO , 
 Drone Asa Fixa: DRONEASAFIXATESTE TURBINA GASOLINA PEQUENO SERVIÇO monomotor  monoplano  FIXA CONTROLEREMOTO CAMERA NTRIPULADO MOTORPISTAO , 
 Drone Asa Fixa: DRONEASAROTATIVATESTE HELICE GASOLINA PEQUENO LAZER rotor unico  ROTATIVA CONTROLEREMOTO NTRIPULADO MOTORROTATORIO , 
 Planador: PLANADORTESTE FORÇA FORCA MEDIO LAZER monoplano FIXA TRIPULACAOUNICA NMOTORIZADO , 
 MotoPlanador: MOTOPLANADORTESTE FORÇA FORCA_E_GASOLINA MEDIO LASER monoplano  monomotor  FIXA TRIPULACAOUNICA MOTORPISTAO , 
 Hibrido: HIBRIDOTESTE PISTÃO GASOLINA GRANDE MILITAR  monoplano  quadrimotor  HIBRIDA CAIXAPRETA TRIPULACAOPOLI MOTORPISTAOROTATORIO , 
 Balão: BALAOTESTE2 DILATAÇÃO AR_QUENTE balão de ar quente  MEDIO LAZER TRIPULACAOUNICA CESTO , 
 Balão: BALAOTESTE DILATAÇÃO AR_QUENTE_HELIO balão de rozier  MEDIO LAZER TRIPULACAOUNICA CESTO , 
 Drone Asa Fixa: DRONEASAROTATIVATESTE HELICE GASOLINA PEQUENO LAZER tricóptro  ROTATIVA CONTROLEREMOTO NTRIPULADO MOTORROTATORIO , 
 Drone Asa Fixa: DRONEASAROTATIVATESTE HELICE GASOLINA PEQUENO LAZER quadcótero  ROTATIVA CONTROLEREMOTO NTRIPULADO MOTORROTATORIO , 
 Drone Asa Fixa: DRONEASAROTATIVATESTE HELICE GASOLINA PEQUENO LAZER hexacóptero  ROTATIVA CONTROLEREMOTO NTRIPULADO MOTORROTATORIO , 
 Drone Asa Fixa: DRONEASAROTATIVATESTE HELICE GASOLINA PEQUENO LAZER octocóptero  ROTATIVA CONTROLEREMOTO NTRIPULADO MOTORROTATORIO , 
 MotoPlanador: MOTOPLANADORTESTE FORÇA FORCA_E_GASOLINA MEDIO LASER monoplano  monomotor  FIXA TRIPULACAOUNICA MOTORPISTAO , 
 Planador: PLANADORTESTE FORÇA FORCA MEDIO LAZER monoplano FIXA TRIPULACAOUNICA NMOTORIZADO , 
 Dirigivel: DIRIGIVELTESTE DILATAÇÃO HELIO Dirigivel Rigido  MEDIO COMERCIAL RIGIDO LEME GONDOLA TRIPULACAODUPLA , 
 Dirigivel: DIRIGIVELTESTE DILATAÇÃO HELIO Dirigivel não Rigido  MEDIO COMERCIAL N_RIGIDO LEME GONDOLA TRIPULACAODUPLA , 
 Dirigivel: DIRIGIVELTESTE DILATAÇÃO HELIO Dirigivel metal-clad  MEDIO COMERCIAL METAL_CLAD LEME GONDOLA TRIPULACAODUPLA , 
 Dirigivel: DIRIGIVELTESTE DILATAÇÃO HELIO Dirigivel hibrido  MEDIO COMERCIAL HIBRIDO LEME GONDOLA TRIPULACAODUPLA , 
 Drone Asa Fixa: DRONEASAFIXATESTE TURBINA GASOLINA PEQUENO SERVIÇO monomotor  monoplano  FIXA CONTROLEREMOTO CAMERA NTRIPULADO MOTORPISTAO , 
 Avião: AVIAOTESTE PISTÃO GASOLINA GRANDE COMERCIAL  monoplano   monomotor  FIXA CAIXAPRETA TRIPULACAOPOLI MOTORJATOPISTAO , 
 Avião: AVIAOTESTE PISTÃO GASOLINA GRANDE COMERCIAL  Asa invalido   trimotor  FIXA CAIXAPRETA TRIPULACAOPOLI MOTORJATOPISTAO , 
 Avião: AVIAOTESTE PISTÃO GASOLINA GRANDE COMERCIAL  triplano   quadrimotor  FIXA CAIXAPRETA TRIPULACAOPOLI MOTORJATOPISTAO , 
 Helicoptero: HELICOPTEROTESTE HELICE ETANOL GRANDE SERVIÇO quantidade de motores invalidos   ROTATIVA MANCHE TRIPULACAODUPLA MOTORROTATORIO ]
